broker_comm,broker_comm_man,broker_id,broker_man_net_price,broker_net,cc_account_number,cc_facilitation_name,client_comm,client_comm_bps,client_comm_man,client_net,client_net_price,executed_time,gross_consideration,gross_price,number_of_shares,operation,order id,order_terms,Security Country Code of Issue,settlement_currency,settlement_date,stock_name,ticket_code,trade_currency,Trade Date,is_short_sell,Clearing Bank Number,Settlement FX Rate,ISIN Code,comm_type,Sedol,Mark Up,Sales Commission,Exchange Fee,Transaction Levy,Stamp Duty,Original Order Quantity,Order Quantity,Book Name,User Name,Is Option Security,Security ID,Option OCC Symbol,OPRA Symbol,Option Strike Price,Option Expiration Date,Option Open Close Indicator,Option Put Call Indicator,Primary MIC,Firm LEI,Give Up Broker Id,BloombergSymbol,Number of Fills
188.992635,,TBXA,,757206.5518,5A08977702,,,,,,,4:01:55,755970.54,58.15158,13000,B,6967495819 HK,,HK,HKD,20230419,SWIRE PACIFIC,19 HK,HKD,20230417,N,,,HK0019000162,,6867748,,,64.2575,982.7617,,,,Asia,,N,,,,,,,,XHKG,,,19 HK,5
49.873995,,GSCO,,497999.3212,5A08977702,,,,,,,2:51:07,498739.95,9.235925,54000,S,68711453200 HK,,HK,HKD,20230313,MELCO INTL DEV,200 HK,HKD,20230309,N,,,HK0200030994,,B092QP3,,,42.3929,648.3619,,,,Asia,,N,,,,,,,,XHKG,,,200 HK,36
0,,CHLC,,4676514.045,5A08977702,,,,,,,4:07:10,4683000,78.05,60000,SS,663013242015 HK,,HK,HKD,20221202,LI AUTO INC,2015 HK,HKD,20221130,Y,,,KYG5479M1050,,BMW5M00,,,398.055,6087.9,,,,Asia,,N,,,,,,,,XHKG,,,2015 HK,1
350.759997,,GSCO,,3502391.184,5A08977702,,,,,,,4:09:13,3507599.97,100.217142,35000,SS,696749052015 HK,,HK,HKD,20230419,LI AUTO INC,2015 HK,HKD,20230417,Y,,,KYG5479M1050,,BMW5M00,,,298.146,4559.88,,,,Asia,,N,,,,,,,,XHKG,,,2015 HK,33
76.336,,GSCO,,762226.4104,5A08977702,,,,,,,4:09:13,763360,1.04,734000,S,696749542233 HK,,HK,HKD,20230419,WEST CHINA CEMENT,2233 HK,HKD,20230417,N,,,JE00B3MW7P88,,B4N6NB4,,,64.8856,992.368,,,,Asia,,N,,,,,,,,XHKG,,,2233 HK,22
118.91,,GSCO,,1187334.187,5A08977702,,,,,,,3:38:49,1189100,54.05,22000,S,696746662318 HK,,HK,HKD,20230419,PING AN INSURANCE,2318 HK,HKD,20230417,N,,,CNE1000003X6,,B01FLR7,,,101.0735,1545.83,,,,Asia,,N,,,,,,,,XHKG,,,2318 HK,12
1236.867,,MIZU,,16490323.13,5A08977702,,,,,,,0:56:19,16491560,2576.80625,6400,S,679709094921 JT,,JP,JPY,20230207,FANCL CORP,4921 JT,JPY,20230203,N,,,JP3802670004,,6131261,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,4921 JT,19
1428.172,,GSCO,,14302928.35,5A08977702,,,,,,,2:59:34,14281720,57.12688,250000,B,696744745 HK,,HK,HKD,20230419,HSBC HOLDINGS PLC,5 HK,HKD,20230417,N,,,GB0005405286,,6158163,,,1213.9462,18566.236,,,,Asia,,N,,,,,,,,XHKG,,,5 HK,346
155.489499,,GSCO,,1552585.978,5A08977702,,,,,,,3:59:00,1554894.998,159.47641,9750,SS,696748166160 HK,,HK,HKD,20230419,BEIGENE LTD,6160 HK,HKD,20230417,Y,,,KYG1146Y1017,,BGDY260,,,132.1661,2021.3635,,,,Asia,,N,,,,,,,,XHKG,,,6160 HK,84
0,,CHLC,,37131399.84,5A08977702,,,,,,,22:04:14,37131399.84,7735.7083,4800,B,604622476201 JT,,JP,JPY,20220316,TOYOTA INDUSTRIES,6201 JT,JPY,20220314,N,,,JP3634600005,,6900546,,,0,0,,,,Asia,,N,,,,,,,,XTKS,,,6201 JT,1
